Installed Packages
1password.x86_64                                         8.9.14-1                             @1password                
GConf2.x86_64                                            3.2.6-34.fc36                        @fedora                   
ImageMagick.x86_64                                       1:6.9.12.70-1.fc36                   @updates                  
ImageMagick-c++.x86_64                                   1:6.9.12.70-1.fc36                   @updates                  
ImageMagick-libs.x86_64                                  1:6.9.12.70-1.fc36                   @updates                  
LibRaw.x86_64                                            0.20.2-5.fc36                        @anaconda                 
ModemManager.x86_64                                      1.18.8-1.fc36                        @fedora-updates           
ModemManager-glib.x86_64                                 1.18.8-1.fc36                        @fedora-updates           
NetworkManager.x86_64                                    1:1.38.6-1.fc36                      @updates                  
NetworkManager-adsl.x86_64                               1:1.38.6-1.fc36                      @updates                  
NetworkManager-bluetooth.x86_64                          1:1.38.6-1.fc36                      @updates                  
NetworkManager-config-connectivity-fedora.noarch         1:1.38.6-1.fc36                      @updates                  
NetworkManager-libnm.i686                                1:1.38.6-1.fc36                      @updates                  
NetworkManager-libnm.x86_64                              1:1.38.6-1.fc36                      @updates                  
NetworkManager-openconnect.x86_64                        1.2.8-2.fc36                         @fedora-updates           
NetworkManager-openconnect-gnome.x86_64                  1.2.8-2.fc36                         @fedora-updates           
NetworkManager-openvpn.x86_64                            1:1.8.18-1.fc36                      @anaconda                 
NetworkManager-openvpn-gnome.x86_64                      1:1.8.18-1.fc36                      @anaconda                 
NetworkManager-ppp.x86_64                                1:1.38.6-1.fc36                      @updates                  
NetworkManager-pptp.x86_64                               1:1.2.10-1.fc36                      @anaconda                 
NetworkManager-pptp-gnome.x86_64                         1:1.2.10-1.fc36                      @anaconda                 
NetworkManager-ssh.x86_64                                1.2.12-3.fc36                        @anaconda                 
NetworkManager-ssh-gnome.x86_64                          1.2.12-3.fc36                        @anaconda                 
NetworkManager-team.x86_64                               1:1.38.6-1.fc36                      @updates                  
NetworkManager-vpnc.x86_64                               1:1.2.8-1.fc36                       @anaconda                 
NetworkManager-vpnc-gnome.x86_64                         1:1.2.8-1.fc36                       @anaconda                 
NetworkManager-wifi.x86_64                               1:1.38.6-1.fc36                      @updates                  
NetworkManager-wwan.x86_64                               1:1.38.6-1.fc36                      @updates                  
PackageKit.x86_64                                        1.2.5-1.fc36                         @anaconda                 
PackageKit-command-not-found.x86_64                      1.2.5-1.fc36                         @anaconda                 
PackageKit-glib.x86_64                                   1.2.5-1.fc36                         @anaconda                 
PackageKit-gstreamer-plugin.x86_64                       1.2.5-1.fc36                         @anaconda                 
PackageKit-gtk3-module.x86_64                            1.2.5-1.fc36                         @anaconda                 
SDL2.i686                                                2.26.0-1.fc36                        @nobara-baseos-multilib   
SDL2.x86_64                                              2.26.0-1.fc36                        @nobara-baseos            
SDL2-devel.x86_64                                        2.26.0-1.fc36                        @nobara-baseos            
SDL2_image.x86_64                                        2.0.5-8.fc36                         @fedora                   
SDL2_mixer.x86_64                                        2.0.4-10.fc36                        @fedora                   
SDL2_ttf.x86_64                                          2.0.18-2.fc36                        @fedora                   
SDL_mixer.x86_64                                         1.2.12-24.fc36                       @fedora                   
aajohan-comfortaa-fonts.noarch                           3.101-4.fc36                         @anaconda                 
aardvark-dns.x86_64                                      1.4.0-1.fc36                         @updates                  
abattis-cantarell-fonts.noarch                           0.301-7.fc36                         @anaconda                 
abattis-cantarell-vf-fonts.noarch                        0.301-7.fc36                         @anaconda                 
abrt.x86_64                                              2.15.1-1.fc36                        @anaconda                 
abrt-addon-ccpp.x86_64                                   2.15.1-1.fc36                        @anaconda                 
abrt-addon-kerneloops.x86_64                             2.15.1-1.fc36                        @anaconda                 
abrt-addon-pstoreoops.x86_64                             2.15.1-1.fc36                        @anaconda                 
abrt-addon-vmcore.x86_64                                 2.15.1-1.fc36                        @anaconda                 
abrt-addon-xorg.x86_64                                   2.15.1-1.fc36                        @anaconda                 
abrt-cli.x86_64                                          2.15.1-1.fc36                        @anaconda                 
abrt-dbus.x86_64                                         2.15.1-1.fc36                        @anaconda                 
abrt-desktop.x86_64                                      2.15.1-1.fc36                        @anaconda                 
abrt-gui.x86_64                                          2.15.1-1.fc36                        @anaconda                 
abrt-gui-libs.x86_64                                     2.15.1-1.fc36                        @anaconda                 
abrt-java-connector.x86_64                               1.3.1-3.fc36                         @anaconda                 
abrt-libs.x86_64                                         2.15.1-1.fc36                        @anaconda                 
abrt-plugin-bodhi.x86_64                                 2.15.1-1.fc36                        @anaconda                 
abrt-retrace-client.x86_64                               2.15.1-1.fc36                        @anaconda                 
abrt-tui.noarch                                          2.15.1-1.fc36                        @anaconda                 
accountsservice.x86_64                                   0.6.55-9.fc36                        @anaconda                 
accountsservice-libs.x86_64                              0.6.55-9.fc36                        @anaconda                 
acl.x86_64                                               2.3.1-3.fc36                         @anaconda                 
adcli.x86_64                                             0.9.1-10.fc36                        @anaconda                 
adobe-mappings-cmap.noarch                               20230118-1.fc36                      @updates                  
adobe-mappings-cmap-deprecated.noarch                    20230118-1.fc36                      @updates                  
adobe-mappings-pdf.noarch                                20190401-1.fc36                      @anaconda                 
adobe-source-code-pro-fonts.noarch                       2.030.1.050-12.fc36                  @anaconda                 
adw-gtk3.x86_64                                          3.1-2.fc36                           @nobara-baseos            
adwaita-cursor-theme.noarch                              42.0-1.fc36                          @anaconda                 
adwaita-gtk2-theme.x86_64                                3.28-14.fc36                         @anaconda                 
adwaita-icon-theme.noarch                                42.0-1.fc36                          @anaconda                 
adwaita-qt5.x86_64                                       1.4.2-1.fc36                         @fedora-updates           
adwaita-qt6.x86_64                                       1.4.2-1.fc36                         @updates                  
akmod-xone.x86_64                                        0.2-3.fc36                           @nobara-baseos            
akmod-xpadneo.x86_64                                     0.9.5-1.fc36                         @nobara-baseos            
akmods.noarch                                            0.5.7-8.fc36                         @updates                  
alsa-lib.i686                                            1.2.8-1.fc36                         @updates                  
alsa-lib.x86_64                                          1.2.8-1.fc36                         @updates                  
alsa-plugins-pulseaudio.x86_64                           1.2.7.1-1.fc36                       @fedora-updates           
alsa-sof-firmware.noarch                                 2.2.2-1.fc36                         @fedora-updates           
alsa-ucm.noarch                                          1.2.8-1.fc36                         @updates                  
alsa-utils.x86_64                                        1.2.8-1.fc36                         @updates                  
alternatives.x86_64                                      1.21-1.fc36                          @updates                  
amd-gpu-firmware.noarch                                  20221214-142.fc36                    @nobara-baseos            
anaconda.x86_64                                          36.16.5-12.fc36                      @nobara-baseos            
anaconda-core.x86_64                                     36.16.5-12.fc36                      @nobara-baseos            
anaconda-gui.x86_64                                      36.16.5-12.fc36                      @nobara-baseos            
anaconda-install-env-deps.x86_64                         36.16.5-12.fc36                      @nobara-baseos            
anaconda-live.x86_64                                     36.16.5-12.fc36                      @nobara-baseos            
anaconda-tui.x86_64                                      36.16.5-12.fc36                      @nobara-baseos            
anaconda-user-help.noarch                                26.2-2.fc36                          @anaconda                 
anaconda-widgets.x86_64                                  36.16.5-12.fc36                      @nobara-baseos            
angband.x86_64                                           4.2.4-1.fc36                         @fedora                   
angband-data.noarch                                      4.2.4-1.fc36                         @fedora                   
annobin-docs.noarch                                      10.93-1.fc36                         @updates                  
annobin-plugin-gcc.x86_64                                10.93-1.fc36                         @updates                  
ansible-srpm-macros.noarch                               1-8.1.fc36                           @updates                  
anthy-unicode.x86_64                                     1.0.0.20211224-5.fc36                @fedora-updates           
antiword.x86_64                                          0.37-33.fc36                         @anaconda                 
apparmor-libs.x86_64                                     3.1.2-0.3.fc36                       @nobara-baseos            
apparmor-parser.x86_64                                   3.1.2-0.3.fc36                       @nobara-baseos            
apparmor-profiles.noarch                                 3.1.2-0.3.fc36                       @nobara-baseos            
apparmor-utils.x86_64                                    3.1.2-0.3.fc36                       @nobara-baseos            
appstream.x86_64                                         0.15.5-1.fc36                        @updates                  
appstream-data.noarch                                    36-5.fc36                            @updates                  
apr.x86_64                                               1.7.0-16.fc36                        @anaconda                 
apr-util.x86_64                                          1.6.1-20.fc36                        @anaconda                 
apr-util-bdb.x86_64                                      1.6.1-20.fc36                        @anaconda                 
